ParameterID,ClientFormalName,COCID,COCNum,COCRecvDate,ReportDate,SampleName,AlternateName,PureSampleName,SampleNumber,SampledBy,SampledDate,LocationName,SampleExtComment,Matrix,TestTempReportName,TestTempName,TestTempMethodRef,WorkAreaName,ParameterName,Units,Result
300387,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"1,2-dimethylnaphthalene",ng/WB,19.6J
302096,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"1,4-dimethylnaphthalene",ng/WB,13.3J
302097,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"1,5-dimethylnaphthalene",ng/WB,12.7J
300386,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"1,6-dimethylnaphthalene",ng/WB,108J
302095,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"1,8-dimethylnaphthalene",ng/WB,0.83U
69,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,1-methylnaphthalene,ng/WB,66.3J
70,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,1-methylphenanthrene,ng/WB,19.2
300392,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,1-methylpyrene,ng/WB,4
300315,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"2,3-dimethylanthracene",ng/WB,0.34U
302101,MyExposome,571,17JUN05-01,6/5/2017 13:44,56:58.0,NULL,NULL,115,A170227,SO,5/24/2017 6:30,NULL,NULL,PSD-Wristband,Parent and Alkyl Substituted PAHs by GC-MS/MS,62 PAHs - WB MassCorr ng/WB 2016,SOP 418.00,Organics - Dilution,"2,6-diethylnaphthalene",ng/WB,0.81U
