recordID,masterParameterID,IARCgroup,dateListed,documentDate,noData
1,32,NULL,NULL,20-Oct-14,1
2,34,2B,1999,20-Oct-14,NULL
3,36,3,1999,20-Oct-14,NULL
4,48,3,1999,20-Oct-14,NULL
5,54,2B,1999,20-Oct-14,NULL
6,69,NULL,NULL,20-Oct-14,1
7,70,3,2010,20-Oct-14,NULL
8,84,1,in prep,20-Oct-14,NULL
9,85,1,in prep,20-Oct-14,NULL
10,89,NULL,NULL,20-Oct-14,1
11,92,1,2012,20-Oct-14,NULL
12,101,NULL,NULL,20-Oct-14,1
13,102,3,1987,20-Oct-14,NULL
14,104,NULL,NULL,20-Oct-14,1
15,109,NULL,NULL,20-Oct-14,1
16,111,NULL,NULL,20-Oct-14,1
17,114,NULL,NULL,20-Oct-14,1
18,115,NULL,NULL,20-Oct-14,1
19,116,NULL,NULL,20-Oct-14,1
20,134,NULL,NULL,20-Oct-14,1
21,146,NULL,NULL,20-Oct-14,1
22,148,NULL,NULL,20-Oct-14,1
23,152,NULL,NULL,20-Oct-14,1
24,160,2B,1987,20-Oct-14,NULL
25,165,NULL,NULL,20-Oct-14,1
26,167,NULL,NULL,20-Oct-14,1
27,170,NULL,NULL,20-Oct-14,1
28,171,NULL,NULL,20-Oct-14,1
29,172,2B,1991,20-Oct-14,NULL
30,175,2B,1987,20-Oct-14,NULL
31,176,NULL,NULL,20-Oct-14,1
32,178,1,2012,20-Oct-14,NULL
33,184,NULL,NULL,20-Oct-14,1
34,185,2B,1993,20-Oct-14,NULL
35,189,NULL,NULL,20-Oct-14,1
36,191,3,1987,20-Oct-14,NULL
37,192,NULL,NULL,20-Oct-14,1
38,194,3,1996,20-Oct-14,NULL
39,200,2B,1987,20-Oct-14,NULL
40,201,3,2010,20-Oct-14,NULL
41,202,NULL,NULL,20-Oct-14,1
42,208,3,2010,20-Oct-14,NULL
43,209,NULL,NULL,20-Oct-14,1
44,210,NULL,NULL,20-Oct-14,1
45,224,NULL,NULL,20-Oct-14,1
46,228,3,1987,20-Oct-14,NULL
47,231,NULL,NULL,20-Oct-14,1
48,232,NULL,NULL,20-Oct-14,1
49,236,NULL,NULL,20-Oct-14,1
50,238,NULL,NULL,20-Oct-14,1
51,245,NULL,NULL,20-Oct-14,1
52,246,3,1987,20-Oct-14,NULL
53,247,3,2010,20-Oct-14,NULL
54,251,2B,1987,20-Oct-14,NULL
55,254,NULL,NULL,20-Oct-14,1
56,255,NULL,NULL,20-Oct-14,1
57,259,NULL,NULL,20-Oct-14,1
58,260,3,1987,20-Oct-14,NULL
59,262,NULL,NULL,20-Oct-14,1
60,264,NULL,NULL,20-Oct-14,1
61,265,NULL,NULL,20-Oct-14,1
62,271,1,2012,20-Oct-14,NULL
63,272,2B,2010,20-Oct-14,NULL
64,273,1,2012,20-Oct-14,NULL
65,275,2B,2010,20-Oct-14,NULL
66,276,3,2010,20-Oct-14,NULL
67,277,3,2010,20-Oct-14,NULL
68,278,2B,2010,20-Oct-14,NULL
